"","State","Total_App","In_State_App","Total_Enroll","In_State_Enroll","Total_Adm_Rate","In_State_Adm_Rate","School_Name_2021_Standard","year"
"26","AL",683,75,55,16,0.0805270863836018,0.213333333333333,"University of Alabama at Birmingham School of Dentistry",2009
"210","AL",664,113,54,46,0.0813253012048193,0.407079646017699,"University of Alabama at Birmingham School of Dentistry",2010
"212","AL",698,128,56,52,0.0802292263610315,0.40625,"University of Alabama at Birmingham School of Dentistry",2011
"214","AL",680,101,58,38,0.0852941176470588,0.376237623762376,"University of Alabama at Birmingham School of Dentistry",2012
"216","AL",734,117,61,46,0.0831062670299728,0.393162393162393,"University of Alabama at Birmingham School of Dentistry",2013
"218","AL",755,110,60,45,0.0794701986754967,0.409090909090909,"University of Alabama at Birmingham School of Dentistry",2014
"220","AL",814,104,59,40,0.0724815724815725,0.384615384615385,"University of Alabama at Birmingham School of Dentistry",2015
"227","AL",891,117,59,40,0.0662177328843996,0.341880341880342,"University of Alabama at Birmingham School of Dentistry",2016
"229","AL",878,116,63,39,0.071753986332574,0.336206896551724,"University of Alabama at Birmingham School of Dentistry",2017
"230","AL",976,116,63,48,0.0645491803278689,0.413793103448276,"University of Alabama at Birmingham School of Dentistry",2018
"240","AL",982,97,62,43,0.0631364562118126,0.443298969072165,"University of Alabama at Birmingham School of Dentistry",2019
"250","AL",961,124,61,40,0.0634755463059313,0.32258064516129,"University of Alabama at Birmingham School of Dentistry",2020
"260","AL",1076,124,84,57,0.0780669144981413,0.459677419354839,"University of Alabama at Birmingham School of Dentistry",2021
"1","AZ",3198,179,67,15,0.0209505941213258,0.0837988826815642,"A.T. Still University Arizona School of Dentistry & Oral Health",2009
"16","AZ",2327,162,109,21,0.0468414267296949,0.12962962962963,"Midwestern University College of Dental Medicine-Arizona",2009
"310","AZ",3180,195,70,20,0.0220125786163522,0.102564102564103,"A.T. Still University Arizona School of Dentistry & Oral Health",2010
"410","AZ",2727,176,111,19,0.0407040704070407,0.107954545454545,"Midwestern University College of Dental Medicine-Arizona",2010
"312","AZ",3185,183,76,17,0.023861852433281,0.092896174863388,"A.T. Still University Arizona School of Dentistry & Oral Health",2011
"412","AZ",2771,171,112,19,0.0404186214363046,0.111111111111111,"Midwestern University College of Dental Medicine-Arizona",2011
"314","AZ",3658,206,75,26,0.0205030071077091,0.12621359223301,"A.T. Still University Arizona School of Dentistry & Oral Health",2012
"414","AZ",3120,190,112,29,0.0358974358974359,0.152631578947368,"Midwestern University College of Dental Medicine-Arizona",2012
"316","AZ",3550,201,76,20,0.0214084507042254,0.0995024875621891,"A.T. Still University Arizona School of Dentistry & Oral Health",2013
"416","AZ",2074,174,69,43,0.0332690453230473,0.247126436781609,"Midwestern University College of Dental Medicine-Arizona",2013
"318","AZ",3273,160,76,23,0.023220287198289,0.14375,"A.T. Still University Arizona School of Dentistry & Oral Health",2014
"418","AZ",2872,171,140,38,0.0487465181058496,0.222222222222222,"Midwestern University College of Dental Medicine-Arizona",2014
"320","AZ",2698,175,75,15,0.0277983691623425,0.0857142857142857,"A.T. Still University Arizona School of Dentistry & Oral Health",2015
"420","AZ",2874,175,141,34,0.0490605427974948,0.194285714285714,"Midwestern University College of Dental Medicine-Arizona",2015
"327","AZ",2657,150,76,19,0.0286036883703425,0.126666666666667,"A.T. Still University Arizona School of Dentistry & Oral Health",2016
"427","AZ",3227,160,142,30,0.0440037186241091,0.1875,"Midwestern University College of Dental Medicine-Arizona",2016
"329","AZ",2433,143,76,13,0.0312371557747637,0.0909090909090909,"A.T. Still University Arizona School of Dentistry & Oral Health",2017
"429","AZ",3110,167,140,35,0.045016077170418,0.209580838323353,"Midwestern University College of Dental Medicine-Arizona",2017
"330","AZ",2236,114,75,14,0.0335420393559928,0.12280701754386,"A.T. Still University Arizona School of Dentistry & Oral Health",2018
"430","AZ",2264,129,142,29,0.0627208480565371,0.224806201550388,"Midwestern University College of Dental Medicine-Arizona",2018
"340","AZ",2325,125,76,15,0.0326881720430108,0.12,"A.T. Still University Arizona School of Dentistry & Oral Health",2019
"440","AZ",2234,121,142,31,0.0635631154879141,0.256198347107438,"Midwestern University College of Dental Medicine-Arizona",2019
"350","AZ",2424,128,77,16,0.0317656765676568,0.125,"A.T. Still University Arizona School of Dentistry & Oral Health",2020
"450","AZ",2246,129,142,27,0.0632235084594835,0.209302325581395,"Midwestern University College of Dental Medicine-Arizona",2020
"360","AZ",2818,136,78,15,0.0276792051100071,0.110294117647059,"A.T. Still University Arizona School of Dentistry & Oral Health",2021
"460","AZ",2536,128,145,28,0.0571766561514196,0.21875,"Midwestern University College of Dental Medicine-Arizona",2021
"10","CA",2165,902,100,59,0.046189376443418,0.065410199556541,"Loma Linda University School of Dentistry",2009
"27","CA",1918,1112,86,73,0.0448383733055266,0.0656474820143885,"University of California, Los Angeles, School of Dentistry",2009
"28","CA",1793,993,86,68,0.0479643056330173,0.0684793554884189,"University of California, San Francisco, School of Dentistry",2009
"50","CA",3341,1264,143,103,0.0428015564202335,0.0814873417721519,"Herman Ostrow School of Dentistry of USC",2009
