"","st","year","a_mean_dentist","a_mean_doctor","a_mean_nurse","a_mean_den_doc","a_mean_den_nurse"
"1","AK",2004,159490,113110,59830,1.4100433206613,2.66571953869296
"2","AK",2006,163140,143810,64830,1.13441346220708,2.51642757982416
"3","AK",2007,168820,135790,70300,1.24324324324324,2.40142247510669
"4","AK",2008,203000,138380,72820,1.46697499638676,2.7876956879978
"5","AK",2009,199720,149470,74970,1.33618786378538,2.6639989329065
"6","AK",2010,192940,181220,79350,1.06467277342457,2.43150598613737
"7","AK",2011,195350,194550,82080,1.00411205345669,2.37999512670565
"8","AK",2012,186710,202160,80970,0.923575385833004,2.30591577127331
"9","AK",2013,208650,207290,83640,1.00656085677071,2.49461979913917
"10","AK",2014,205880,228340,85740,0.901637908382237,2.4012129694425
"11","AK",2015,217120,235600,88510,0.921561969439728,2.45305615184725
"12","AK",2016,234240,232560,86450,1.00722394220846,2.70954308849046
"13","AK",2017,237140,223090,87510,1.06297906674436,2.70986173008799
"14","AK",2018,259350,227730,89310,1.13884863654327,2.90393013100437
"15","AL",2004,129530,145300,45830,0.891465932553338,2.8263146410648
"16","AL",2005,125620,148540,48840,0.845698128450249,2.57207207207207
"17","AL",2006,133040,155190,51230,0.857271731425994,2.59691586960765
"18","AL",2007,149640,145680,54370,1.02718286655684,2.75225308074306
"19","AL",2008,156370,142670,56670,1.09602579378986,2.75930827598377
"20","AL",2009,177810,142850,57860,1.24473223661183,3.07310750086415
"21","AL",2010,190440,162780,57850,1.16992259491338,3.29196197061366
"22","AL",2011,205130,176950,57840,1.15925402656118,3.54650760719225
"23","AL",2012,189160,179940,55270,1.05123930198955,3.42247150352813
"24","AL",2013,186430,175010,55870,1.06525341409062,3.33685340970109
"25","AL",2014,173220,186640,56470,0.928096870981569,3.0674694528068
"26","AL",2015,174870,198890,56890,0.879229724973604,3.0738266830726
"27","AL",2016,183480,189640,56900,0.967517401392111,3.22460456942003
"28","AL",2017,181240,208400,57890,0.869673704414587,3.13076524442909
"29","AL",2018,171900,211550,59470,0.812573859607658,2.89053304186985
"30","AR",2004,82950,151070,45900,0.549083206460581,1.80718954248366
"31","AR",2005,88780,160980,48620,0.551497080382656,1.82599753187988
"32","AR",2006,112280,168530,51330,0.666231531478075,2.18741476719267
"33","AR",2007,142300,176760,52600,0.805046390586105,2.70532319391635
"34","AR",2008,166500,188880,55280,0.88151207115629,3.01193921852388
