"","st","job_type","occ_code","tot_employment","annual_mean_income","year","State","Est_Population"
"1","AK","Dental Hygienists",2021,0,NA,1999,"Alaska",624779
"2","AK","Dentists, All",1020,0,NA,1999,"Alaska",624779
"3","AK","Nurses",1141,4190,48440,1999,"Alaska",624779
"4","AK","Physicians and Surgeons, All",1060,230,105340,1999,"Alaska",624779
"5","AL","Dental Hygienists",2021,0,NA,1999,"Alabama",4430141
"6","AL","Dentists, All",1020,960,117320,1999,"Alabama",4430141
"7","AL","Nurses",1141,31180,38790,1999,"Alabama",4430141
"8","AL","Physicians and Surgeons, All",1060,3390,125643.716814159,1999,"Alabama",4430141
"9","AR","Dental Hygienists",2021,220,37190,1999,"Arkansas",2651860
"10","AR","Nurses",1141,19110,38280,1999,"Arkansas",2651860
"11","AR","Physicians and Surgeons, All",1060,710,102626.901408451,1999,"Arkansas",2651860
"12","AZ","Dental Hygienists",2021,1430,59340,1999,"Arizona",5023823
"13","AZ","Dentists, All",1020,770,110220,1999,"Arizona",5023823
"14","AZ","Nurses",1141,32070,43340,1999,"Arizona",5023823
"15","AZ","Physicians and Surgeons, All",1060,3630,108352.258953168,1999,"Arizona",5023823
"16","CA","Dental Hygienists",2021,10510,55020,1999,"California",33499204
"17","CA","Dentists, All",1020,7000,116270,1999,"California",33499204
"18","CA","Nurses",1141,224190,54070,1999,"California",33499204
"19","CA","Physicians and Surgeons, All",1060,25040,94186.5774760383,1999,"California",33499204
"20","CO","Dental Hygienists",2021,1150,57520,1999,"Colorado",4226018
"21","CO","Nurses",1141,29770,43700,1999,"Colorado",4226018
"22","CT","Dental Hygienists",2021,2020,58670,1999,"Connecticut",3386401
"23","CT","Dentists, All",1020,1510,101140,1999,"Connecticut",3386401
"24","CT","Nurses",1141,30870,49480,1999,"Connecticut",3386401
"25","CT","Physicians and Surgeons, All",1060,4110,117744.841849148,1999,"Connecticut",3386401
"26","DC","Dental Hygienists",2021,0,NA,1999,"District of Columbia",570213
"27","DC","Dentists, All",1020,0,NA,1999,"District of Columbia",570213
"28","DC","Nurses",1141,12110,47460,1999,"District of Columbia",570213
"29","DE","Dental Hygienists",2021,570,45610,1999,"Delaware",774990
"30","DE","Nurses",1141,6690,43430,1999,"Delaware",774990
"31","FL","Dental Hygienists",2021,4680,44000,1999,"Florida",15759421
"32","FL","Dentists, All",1020,3180,113920,1999,"Florida",15759421
"33","FL","Nurses",1141,116300,42350,1999,"Florida",15759421
"34","FL","Physicians and Surgeons, All",1060,16440,124902.688564477,1999,"Florida",15759421
"35","GA","Dental Hygienists",2021,2030,40410,1999,"Georgia",8045965
"36","GA","Dentists, All",1020,1090,121610,1999,"Georgia",8045965
"37","GA","Nurses",1141,50980,40670,1999,"Georgia",8045965
"38","GA","Physicians and Surgeons, All",1060,260,110364.615384615,1999,"Georgia",8045965
"39","HI","Dental Hygienists",2021,110,56660,1999,"Hawaii",1210300
"40","HI","Nurses",1141,8450,56930,1999,"Hawaii",1210300
"41","HI","Physicians and Surgeons, All",1060,200,81270,1999,"Hawaii",1210300
"42","IA","Dental Hygienists",2021,1870,40460,1999,"Iowa",2917634
"43","IA","Dentists, All",1020,640,91570,1999,"Iowa",2917634
"44","IA","Nurses",1141,26860,34860,1999,"Iowa",2917634
"45","IA","Physicians and Surgeons, All",1060,1700,99342.8823529412,1999,"Iowa",2917634
"46","ID","Dental Hygienists",2021,0,NA,1999,"Idaho",1275674
"47","ID","Dentists, All",1020,30,83550,1999,"Idaho",1275674
"48","ID","Nurses",1141,9930,40410,1999,"Idaho",1275674
"49","ID","Physicians and Surgeons, All",1060,0,NA,1999,"Idaho",1275674
"50","IL","Dental Hygienists",2021,1650,46910,1999,"Illinois",12359020
"51","IL","Dentists, All",1020,2460,83470,1999,"Illinois",12359020
"52","IL","Nurses",1141,106990,41910,1999,"Illinois",12359020
"53","IL","Physicians and Surgeons, All",1060,13960,94866.2464183381,1999,"Illinois",12359020
"54","IN","Dental Hygienists",2021,3150,45370,1999,"Indiana",6044969
"55","IN","Dentists, All",1020,2710,88430,1999,"Indiana",6044969
"56","IN","Nurses",1141,49780,39480,1999,"Indiana",6044969
"57","IN","Physicians and Surgeons, All",1060,4740,129314.641350211,1999,"Indiana",6044969
"58","KS","Dental Hygienists",2021,1500,43280,1999,"Kansas",2678338
"59","KS","Dentists, All",1020,1360,102110,1999,"Kansas",2678338
"60","KS","Nurses",1141,20870,38360,1999,"Kansas",2678338
"61","KS","Physicians and Surgeons, All",1060,1180,128763.050847458,1999,"Kansas",2678338
