"","area","st","occ_code","occ_title","tot_emp","h_mean","a_mean","h_median","a_median","year","State","Est_Population"
"1","01","AL",1020,"dentists",960,56.41,117320,54.78,113940,1999,"Alabama",4430141
"2","01","AL",1062,"family and general practitioners",1080,58.4,121470,62.33,129640,1999,"Alabama",4430141
"3","01","AL",1141,"registered nurses",31180,18.65,38790,18.09,37620,1999,"Alabama",4430141
"4","01","AL",2021,"dental hygienists",NA,12.99,27020,12.72,26470,1999,"Alabama",4430141
"5","02","AK",1020,"dentists",NA,59.98,124760,62.71,130440,1999,"Alaska",624779
"6","02","AK",1062,"family and general practitioners",230,50.64,105340,51.71,107560,1999,"Alaska",624779
"7","02","AK",1141,"registered nurses",4190,23.29,48440,23.02,47880,1999,"Alaska",624779
"8","02","AK",2021,"dental hygienists",NA,32.77,68160,36.07,75030,1999,"Alaska",624779
"9","04","AZ",1020,"dentists",770,52.99,110220,56.2,116900,1999,"Arizona",5023823
"10","04","AZ",1062,"family and general practitioners",2450,50.45,104930,59.59,123950,1999,"Arizona",5023823
"11","04","AZ",1141,"registered nurses",32070,20.84,43340,20.26,42150,1999,"Arizona",5023823
"12","04","AZ",2021,"dental hygienists",1430,28.53,59340,31.27,65050,1999,"Arizona",5023823
"13","05","AR",1062,"family and general practitioners",560,52.44,109060,53.94,112200,1999,"Arkansas",2651860
"14","05","AR",1141,"registered nurses",19110,18.4,38280,17.18,35730,1999,"Arkansas",2651860
"15","05","AR",2021,"dental hygienists",220,17.88,37190,18.38,38220,1999,"Arkansas",2651860
"16","06","CA",1020,"dentists",7000,55.9,116270,54.94,114270,1999,"California",33499204
"17","06","CA",1062,"family and general practitioners",15040,37.97,78990,40.55,84340,1999,"California",33499204
"18","06","CA",1141,"registered nurses",224190,26,54070,25.12,52240,1999,"California",33499204
"19","06","CA",2021,"dental hygienists",10510,26.45,55020,30.02,62450,1999,"California",33499204
"20","08","CO",1141,"registered nurses",29770,21.01,43700,20.47,42580,1999,"Colorado",4226018
"21","08","CO",2021,"dental hygienists",1150,27.65,57520,30.07,62550,1999,"Colorado",4226018
"22","09","CT",1020,"dentists",1510,48.62,101140,53.27,110810,1999,"Connecticut",3386401
"23","09","CT",1062,"family and general practitioners",1230,45.35,94330,47.22,98220,1999,"Connecticut",3386401
"24","09","CT",1141,"registered nurses",30870,23.79,49480,23.18,48210,1999,"Connecticut",3386401
"25","09","CT",2021,"dental hygienists",2020,28.21,58670,29.99,62380,1999,"Connecticut",3386401
"26","10","DE",1141,"registered nurses",6690,20.88,43430,20.28,42190,1999,"Delaware",774990
"27","10","DE",2021,"dental hygienists",570,21.93,45610,21.28,44260,1999,"Delaware",774990
"28","11","DC",1020,"dentists",NA,52.33,108850,51.1,106280,1999,"District of Columbia",570213
"29","11","DC",1141,"registered nurses",12110,22.82,47460,22.81,47450,1999,"District of Columbia",570213
"30","11","DC",2021,"dental hygienists",NA,20.57,42790,18.38,38220,1999,"District of Columbia",570213
"31","12","FL",1020,"dentists",3180,54.77,113920,58.86,122420,1999,"Florida",15759421
"32","12","FL",1062,"family and general practitioners",7790,54.25,112840,62.37,129730,1999,"Florida",15759421
"33","12","FL",1141,"registered nurses",116300,20.36,42350,19.57,40700,1999,"Florida",15759421
"34","12","FL",2021,"dental hygienists",4680,21.15,44000,21.07,43820,1999,"Florida",15759421
"35","13","GA",1020,"dentists",1090,58.46,121610,NA,NA,1999,"Georgia",8045965
"36","13","GA",1062,"family and general practitioners",NA,56.84,118230,NA,NA,1999,"Georgia",8045965
"37","13","GA",1141,"registered nurses",50980,19.56,40670,18.97,39450,1999,"Georgia",8045965
"38","13","GA",2021,"dental hygienists",2030,19.43,40410,18.82,39140,1999,"Georgia",8045965
"39","15","HI",1062,"family and general practitioners",200,39.07,81270,41.01,85300,1999,"Hawaii",1210300
"40","15","HI",1141,"registered nurses",8450,27.37,56930,27.62,57450,1999,"Hawaii",1210300
"41","15","HI",2021,"dental hygienists",110,27.24,56660,29.14,60610,1999,"Hawaii",1210300
"42","16","ID",1020,"dentists",30,40.17,83550,40.87,85020,1999,"Idaho",1275674
"43","16","ID",1141,"registered nurses",9930,19.43,40410,19.2,39940,1999,"Idaho",1275674
"44","16","ID",2021,"dental hygienists",NA,28.18,58610,30.58,63610,1999,"Idaho",1275674
"45","17","IL",1020,"dentists",2460,40.13,83470,41.63,86600,1999,"Illinois",12359020
"46","17","IL",1062,"family and general practitioners",6860,44.09,91700,46.51,96730,1999,"Illinois",12359020
"47","17","IL",1141,"registered nurses",106990,20.15,41910,19.53,40620,1999,"Illinois",12359020
"48","17","IL",2021,"dental hygienists",1650,22.55,46910,22.64,47090,1999,"Illinois",12359020
"49","18","IN",1020,"dentists",2710,42.52,88430,34.13,70990,1999,"Indiana",6044969
"50","18","IN",1062,"family and general practitioners",2100,58.82,122350,64.18,133500,1999,"Indiana",6044969
"51","18","IN",1141,"registered nurses",49780,18.98,39480,18.43,38330,1999,"Indiana",6044969
"52","18","IN",2021,"dental hygienists",3150,21.81,45370,21.47,44660,1999,"Indiana",6044969
"53","19","IA",1020,"dentists",640,44.02,91570,41.73,86800,1999,"Iowa",2917634
"54","19","IA",1062,"family and general practitioners",1310,46.56,96840,52.58,109360,1999,"Iowa",2917634
"55","19","IA",1141,"registered nurses",26860,16.76,34860,16.17,33640,1999,"Iowa",2917634
"56","19","IA",2021,"dental hygienists",1870,19.45,40460,19.61,40790,1999,"Iowa",2917634
"57","20","KS",1020,"dentists",1360,49.09,102110,49.82,103630,1999,"Kansas",2678338
"58","20","KS",1062,"family and general practitioners",910,61.15,127200,NA,NA,1999,"Kansas",2678338
"59","20","KS",1141,"registered nurses",20870,18.44,38360,17.69,36800,1999,"Kansas",2678338
"60","20","KS",2021,"dental hygienists",1500,20.81,43280,20.86,43390,1999,"Kansas",2678338
"61","21","KY",1062,"family and general practitioners",1200,62.24,129450,NA,NA,1999,"Kentucky",4018053
"62","21","KY",1141,"registered nurses",34600,19.32,40180,18.38,38220,1999,"Kentucky",4018053
"63","21","KY",2021,"dental hygienists",NA,17.82,37060,18.3,38060,1999,"Kentucky",4018053
"64","22","LA",1020,"dentists",710,37.36,77700,25.88,53830,1999,"Louisiana",4460811
"65","22","LA",1062,"family and general practitioners",NA,50.07,104140,54.73,113830,1999,"Louisiana",4460811
"66","22","LA",1141,"registered nurses",37450,20.27,42150,19.52,40600,1999,"Louisiana",4460811
"67","22","LA",2021,"dental hygienists",690,20.9,43460,21.74,45210,1999,"Louisiana",4460811
"68","23","ME",1062,"family and general practitioners",640,53.47,111220,53.26,110770,1999,"Maine",1266808
"69","23","ME",1141,"registered nurses",12440,19.46,40480,18.72,38930,1999,"Maine",1266808
"70","23","ME",2021,"dental hygienists",NA,19.53,40630,19.25,40050,1999,"Maine",1266808
"71","24","MD",1020,"dentists",2370,52.24,108660,63.22,131490,1999,"Maryland",5254509
"72","24","MD",1062,"family and general practitioners",9220,39.77,82710,39.78,82740,1999,"Maryland",5254509
"73","24","MD",1141,"registered nurses",45910,23.54,48960,22.78,47380,1999,"Maryland",5254509
"74","24","MD",2021,"dental hygienists",3600,23.83,49560,24.58,51120,1999,"Maryland",5254509
"75","25","MA",1020,"dentists",710,56.48,117480,63.39,131850,1999,"Massachusetts",6317345
"76","25","MA",1062,"family and general practitioners",3150,40.32,83870,43.77,91040,1999,"Massachusetts",6317345
